Nome,UF,Latitude,Longitude,Altitude,Codigo,ano,mes,tmed,pr_mes
SANTA MARIA,RS,-29.725,-53.720556,105.0,A803,2010,10,16.94079568104081,94.21001115502392
URUGUAIANA,RS,-29.84,-57.081944,74.29,A809,2010,10,18.92265577008652,43.81170609654461
MAL. CANDIDO RONDON,PR,-24.533333,-54.019167,392.07,A820,2010,10,21.056074683896952,209.59734657467877
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,10,19.38049294666581,166.57262781323467
RIO NEGRINHO,SC,-26.248611,-49.574167,856.0,A862,2010,10,15.556502586282704,198.49376121224438
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,10,17.850949305872803,199.06034806431805
CUIABA,MT,-15.606944,-56.060833,184.0,A901,2010,10,28.111977636685936,125.26334562958752
PORTO VELHO,RO,-8.793611,-63.845833,86.7,A925,2010,10,27.50000634552333,127.70972886742626
GOIANIA,GO,-16.642778,-49.220278,727.3,A002,2010,11,22.774137094285777,254.15804592040558
PALMAS,TO,-10.147778,-48.314444,267.0,A009,2010,11,26.06754801008441,208.74367264178773
POSSE,GO,-14.089167,-46.366389,830.0,A017,2010,11,23.52947563595245,297.3260840502121
BELEM,PA,-1.411111,-48.439444,21.17,A201,2010,11,27.95621717241079,85.90310421851655
ITAITUBA,PA,-4.276944,-55.993056,24.46,A231,2010,11,26.770534663730245,203.2355627146103
CABROBO,PE,-8.503889,-39.315278,342.74,A329,2010,11,29.082049963209386,1.5836170044281062
MORADA NOVA,CE,-5.091111,-38.364722,93.0,A332,2010,11,28.829597706264963,1.734267744097906
CAMPOS SALES,CE,-7.077778,-40.362778,577.95,A347,2010,11,27.336615392896874,4.165630611453253
PALMARES,PE,-8.666667,-35.568056,164.01,A357,2010,11,24.817651091681626,26.357810768161016
BARREIRAS,BA,-12.124722,-45.026944,474.17,A402,2010,11,26.412714025709363,105.5485269155838
FEIRA DE SANTANA,BA,-12.196111,-38.9675,229.64,A413,2010,11,26.878740501403854,8.108656677279669
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,11,23.270957840813537,265.03376272586365
PICO DO COUTO,RJ,-22.464722,-43.291389,1777.0,A610,2010,11,20.587662484910766,284.05907359984894
