Nome,UF,Latitude,Longitude,Altitude,Codigo,ano,mes,tmed,pr_mes,etp_mes
FEIRA DE SANTANA,BA,-12.196111,-38.9675,229.64,A413,2010,11,27.650024,9.0,180.23
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,11,24.150024,266.0,129.56999
PICO DO COUTO,RJ,-22.464722,-43.291389,1777.0,A610,2010,11,15.75,247.0,110.31
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,11,24.150024,119.0,132.59
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,11,20.850006,115.0,131.59999
CAMPOS DO JORDAO,SP,-22.750278,-45.603889,1662.95,A706,2010,11,16.150024,234.0,111.32
CORUMBA,MS,-18.996667,-57.6375,111.73,A724,2010,11,26.550018,75.0,171.95999
SANTA MARIA,RS,-29.725,-53.720556,105.0,A803,2010,11,21.850006,56.0,172.2
URUGUAIANA,RS,-29.84,-57.081944,74.29,A809,2010,11,22.850006,15.0,188.06
MAL. CANDIDO RONDON,PR,-24.533333,-54.019167,392.07,A820,2010,11,22.850006,89.0,170.31999
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,11,21.450012,80.0,168.42
RIO NEGRINHO,SC,-26.248611,-49.574167,856.0,A862,2010,11,18.850006,143.0,132.4
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,11,22.650024,185.0,131.23999
CUIABA,MT,-15.606944,-56.060833,184.0,A901,2010,11,27.050018,148.0,155.28
PORTO VELHO,RO,-8.793611,-63.845833,86.7,A925,2010,11,26.25,170.0,127.1
GOIANIA,GO,-16.642778,-49.220278,727.3,A002,2010,12,24.650024,321.0,152.59999
PALMAS,TO,-10.147778,-48.314444,267.0,A009,2010,12,26.350006,160.0,138.81999
POSSE,GO,-14.089167,-46.366389,830.0,A017,2010,12,23.650024,249.0,148.45
