Nome,UF,Latitude,Longitude,Altitude,Codigo,ano,mes,tmed,pr_mes
CORUMBA,MS,-18.996667,-57.63750076293945,111.73,A724,2010,8,23.8,3.0
CUIABA,MT,-15.60694408416748,-56.06083297729492,184.0,A901,2010,8,23.9,0.0
BELEM,PA,-1.4111109972000122,-48.439444,21.17,A201,2010,8,27.35,169.0
ITAITUBA,PA,-4.276944160461426,-55.993056,24.46,A231,2010,8,28.55,65.0
CABROBO,PE,-8.503889083862305,-39.315278,342.74,A329,2010,8,22.200000000000003,0.0
PALMARES,PE,-8.666666984558105,-35.568056,164.01,A357,2010,8,20.950000000000003,108.0
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,8,17.75,39.0
MAL. CANDIDO RONDON,PR,-24.53333282470703,-54.019167,392.07,A820,2010,8,17.400000000000002,15.0
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,8,16.6,42.0
PICO DO COUTO,RJ,-22.4647216796875,-43.291389,1777.0,A610,2010,8,13.55,3.0
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,8,21.150000000000002,3.0
PORTO VELHO,RO,-8.793610572814941,-63.84583282470703,86.7,A925,2010,8,26.6,4.0
SANTA MARIA,RS,-29.725000381469727,-53.720556,105.0,A803,2010,8,14.900000000000002,82.0
URUGUAIANA,RS,-29.84000015258789,-57.08194351196289,74.29,A809,2010,8,14.100000000000001,47.0
RIO NEGRINHO,SC,-26.248611450195312,-49.574167,856.0,A862,2010,8,13.150000000000002,58.0
CAMPOS DO JORDAO,SP,-22.75027847290039,-45.603889,1662.95,A706,2010,8,10.3,0.0
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,8,16.3,2.0
PALMAS,TO,-10.147777557373047,-48.314444,267.0,A009,2010,8,25.0,0.0
BARREIRAS,BA,-12.12472152709961,-45.026944,474.17,A402,2010,9,24.950000000000003,7.0
FEIRA DE SANTANA,BA,-12.196110725402832,-38.967498779296875,229.64,A413,2010,9,21.950000000000003,30.0
MORADA NOVA,CE,-5.091111183166504,-38.364722,93.0,A332,2010,9,28.05,0.0
CAMPOS SALES,CE,-7.077777862548828,-40.36277770996094,577.95,A347,2010,9,24.900000000000002,1.0
POSSE,GO,-14.089166641235352,-46.366389,830.0,A017,2010,9,25.150000000000002,13.0
GOIANIA,GO,-16.642778396606445,-49.220278,727.3,A002,2010,9,26.700000000000003,13.0
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,9,22.900000000000002,5.0
CORUMBA,MS,-18.996667,-57.63750076293945,111.73,A724,2010,9,26.75,22.0
CUIABA,MT,-15.60694408416748,-56.06083297729492,184.0,A901,2010,9,28.400000000000002,5.0
BELEM,PA,-1.4111109972000122,-48.439444,21.17,A201,2010,9,27.35,74.0
ITAITUBA,PA,-4.276944160461426,-55.993056,24.46,A231,2010,9,29.8,39.0
CABROBO,PE,-8.503889083862305,-39.315278,342.74,A329,2010,9,23.65,2.0
PALMARES,PE,-8.666666984558105,-35.568056,164.01,A357,2010,9,21.85,56.0
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,9,19.5,75.0
MAL. CANDIDO RONDON,PR,-24.53333282470703,-54.019167,392.07,A820,2010,9,19.950000000000003,221.0
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,9,19.4,140.0
PICO DO COUTO,RJ,-22.4647216796875,-43.291389,1777.0,A610,2010,9,15.600000000000001,98.0
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,9,22.65,86.0
PORTO VELHO,RO,-8.793610572814941,-63.84583282470703,86.7,A925,2010,9,28.05,91.0
SANTA MARIA,RS,-29.725000381469727,-53.720556,105.0,A803,2010,9,17.6,179.0
URUGUAIANA,RS,-29.84000015258789,-57.08194351196289,74.29,A809,2010,9,17.1,111.0
RIO NEGRINHO,SC,-26.248611450195312,-49.574167,856.0,A862,2010,9,16.0,92.0
CAMPOS DO JORDAO,SP,-22.75027847290039,-45.603889,1662.95,A706,2010,9,13.100000000000001,100.0
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,9,18.5,91.0
PALMAS,TO,-10.147777557373047,-48.314444,267.0,A009,2010,9,27.6,3.0
BARREIRAS,BA,-12.12472152709961,-45.026944,474.17,A402,2010,10,27.35,109.0
FEIRA DE SANTANA,BA,-12.196110725402832,-38.967498779296875,229.64,A413,2010,10,24.1,39.0
MORADA NOVA,CE,-5.091111183166504,-38.364722,93.0,A332,2010,10,27.700000000000003,8.0
