classe,n_classe,n_total,r_pb,p,p_holm,variavel_pt,nivel
koppen_l2_Cw,966,12285,0.065360588007934,4.1237704429381013e-13,1.6495081771752405e-12,SOC,koppen_l2
koppen_l2_As,867,12285,-0.045291089573499,5.112893423710873e-07,1.533868027113262e-06,SOC,koppen_l2
koppen_l2_Aw,1726,12285,0.0352260636507204,9.415092525633911e-05,0.0001883018505126,SOC,koppen_l2
koppen_l2_Af,500,12285,0.00821213031065,0.362750516916164,0.362750516916164,SOC,koppen_l2
koppen_l3_Cfb,971,5000,0.187172169353649,1.1860050443312399e-40,5.9300252216561996e-40,SOC,koppen_l3
koppen_l3_Bsh,467,5000,-0.1558362314904255,1.494986035423751e-28,5.979944141695004e-28,SOC,koppen_l3
koppen_l3_Cwb,563,5000,0.1261005420744585,3.549275902892644e-19,1.0647827708677932e-18,SOC,koppen_l3
koppen_l3_Cfa,2596,5000,-0.1182178715846138,5.004113180254749e-17,1.0008226360509496e-16,SOC,koppen_l3
koppen_l3_Cwa,403,5000,-0.0348635825163487,0.0136875421907119,0.0136875421907119,SOC,koppen_l3
HLZ_L1_Subtropical_Zone,4057,12282,0.0913890594960018,3.3708614196382456e-24,6.741722839276491e-24,SOC,HLZ_L1
HLZ_L1_Tropical_Zone,8225,12282,-0.0913890594960018,3.3708614196382456e-24,6.741722839276491e-24,SOC,HLZ_L1
HLZ_L2_Subtropical_Wet_forest,130,12277,0.1260300197169086,1.1955814707271654e-44,9.564651765817325e-44,SOC,HLZ_L2
HLZ_L2_Tropical_Thorn_steppe,873,12277,-0.0889238111477425,5.535335050980824e-23,3.8747345356865767e-22,SOC,HLZ_L2
HLZ_L2_Tropical_Dry_forest,4554,12277,-0.0687044658841918,2.521143519068555e-14,1.512686111441133e-13,SOC,HLZ_L2
HLZ_L2_Subtropical_Moist_forest,3671,12277,0.063076065858051,2.6490946313025894e-12,1.3245473156512947e-11,SOC,HLZ_L2
HLZ_L2_Tropical_Very_dry_forest,2621,12277,0.0328392557002002,0.0002734291466338,0.0010937165865353,SOC,HLZ_L2
HLZ_L2_Tropical_Desert_bush,44,12277,-0.0225863981549935,0.0123259013161888,0.0369777039485664,SOC,HLZ_L2
HLZ_L2_Tropical_Moist_forest,133,12277,0.0089697841740805,0.3203273305036104,0.6406546610072208,SOC,HLZ_L2
HLZ_L2_Subtropical_Dry_forest,251,12277,0.0086838288126392,0.3359981147244664,0.6406546610072208,SOC,HLZ_L2
