variavel,cenario,camada,n,me,mae,rmse,mec,slope,fator_smearing
areia,zonas_k10,000_030cm,27711,0.43014338753976394,6.043440136666737,10.62496928060378,0.8405093325085844,0.9723257496435225,
silte,zonas_k10,000_030cm,27711,-0.07710904758623707,3.5343866724176993,5.862591288499547,0.8346735271828303,1.007377341232951,
argila,zonas_k10,000_030cm,27711,-0.35303433995352695,5.1346842969508755,8.69807041277955,0.818023783271684,0.976515457953497,
soc_t_ha,clima_continuo,000_030cm,10892,-8.937033003926215,20.14822395066438,48.38133527344972,0.13653567634869468,1.3661750001493036,
soc_t_ha_smearing,clima_continuo,000_030cm,10892,-0.4826776922301974,20.907940713580302,47.27618139646269,0.17553261824621536,1.1552055115244413,1.1826250710546393
soc_t_ha,holdridge_eth,000_030cm,10892,-9.350499168558622,20.35686934219207,48.83453625260202,0.12028330596515857,1.3383574361440769,
soc_t_ha_smearing,holdridge_eth,000_030cm,10892,-0.2261000160302091,21.269885413304312,47.686424761317305,0.16116175395353471,1.1163443207251578,1.1988751241863287
soc_t_ha,holdridge_etpm,000_030cm,10892,-9.260100303989047,20.285574754531332,48.69362828833022,0.12535267945396245,1.351632422429974,
soc_t_ha_smearing,holdridge_etpm,000_030cm,10892,-0.24355864954052767,21.177517451386045,47.545001796016805,0.1661298379152163,1.1299972395875937,1.1961378090828512
soc_t_ha,koppen_chelsa,000_030cm,10892,-9.15949691721391,20.33692214565513,48.86994253650786,0.11900720946533716,1.3090606894448318,
soc_t_ha_smearing,koppen_chelsa,000_030cm,10892,-0.16755415350659061,21.29187568884796,47.787704880185984,0.1575947909237465,1.0952873487298411,1.1951755774070567
soc_t_ha,koppen_ipef,000_030cm,10892,-9.079574758875282,20.334180076881236,48.88880344999522,0.11832705580016922,1.2865181980888432,
soc_t_ha_smearing,koppen_ipef,000_030cm,10892,-0.10355441887421435,21.319662879334114,47.84156586773689,0.155694789818145,1.0770416043705089,1.1944925737950167
soc_t_ha,sem_clima,000_030cm,10892,-9.124325586151194,20.30270045530738,48.8216356274875,0.1207480342958851,1.3108395737703256,
soc_t_ha_smearing,sem_clima,000_030cm,10892,-0.22696968758398026,21.228895665257387,47.74310805917492,0.15916636940366347,1.098798686408474,1.1929751918933635
soc_t_ha,th_cad100,000_030cm,10892,-9.291082245423537,20.26486777033954,48.7759228703234,0.12239378885834451,1.3549992951574759,
soc_t_ha_smearing,th_cad100,000_030cm,10892,-0.31838815443937873,21.116868013482442,47.62654529902778,0.16326707626195192,1.1335912208437993,1.1953156219301608
soc_t_ha,th_cadsolo,000_030cm,10892,-9.345826987384257,20.26250849498943,48.781005865948586,0.122210866600579,1.3556612113024025,
soc_t_ha_smearing,th_cadsolo,000_030cm,10892,-0.31129545194981517,21.1243805881235,47.618909274132854,0.16353536367152832,1.132647153287487,1.1968963214780717
soc_t_ha,zonas_k10,000_030cm,10892,-9.21675286778822,20.284706392679436,48.818298435343415,0.12086823233638477,1.3116930717356896,
soc_t_ha_smearing,zonas_k10,000_030cm,10892,-0.2272836096672653,21.197099144661106,47.718717569252256,0.1600252621940612,1.0973162337498648,1.1953646828437359
