rep,camada,cenario,fracao,n,r2,rmse
1,020_030cm,koppen_ipef,argila,6381,0.8528582301694251,7.693753277390495
1,020_030cm,sem_clima,areia,6381,0.9013494351113879,7.877014995272845
1,020_030cm,sem_clima,silte,6381,0.8689689643846138,4.693542798667601
1,020_030cm,sem_clima,argila,6381,0.8531186538648073,7.686941741150041
1,020_030cm,koppen_chelsa,areia,6381,0.9016217211585765,7.866136784413197
1,020_030cm,koppen_chelsa,silte,6381,0.8675462692691822,4.718954536458391
1,020_030cm,koppen_chelsa,argila,6381,0.8527454312975119,7.696701727828406
1,020_030cm,holdridge_etpm,areia,6381,0.9009061559125832,7.8946925587183285
1,020_030cm,holdridge_etpm,silte,6381,0.8685291114298308,4.7014139836393145
1,020_030cm,holdridge_etpm,argila,6381,0.85262231343826,7.699918617672495
1,020_030cm,holdridge_eth,areia,6381,0.9012482786314996,7.881052513717845
1,020_030cm,holdridge_eth,silte,6381,0.8682314458350264,4.706733252304211
1,020_030cm,holdridge_eth,argila,6381,0.8528608574691487,7.693684588920472
1,020_030cm,th_cad100,areia,6381,0.9016231035638818,7.866081516992626
1,020_030cm,th_cad100,silte,6381,0.8679402605356589,4.711930908212727
1,020_030cm,th_cad100,argila,6381,0.8524838148234265,7.70353577865758
1,020_030cm,th_cadsolo,areia,6381,0.9016113212673175,7.866552551014545
1,020_030cm,th_cadsolo,silte,6381,0.8681682559026476,4.707861679755924
1,020_030cm,th_cadsolo,argila,6381,0.8527242490570548,7.697255284589279
1,020_030cm,clima_continuo,areia,6381,0.9018853774707327,7.855588988348183
1,020_030cm,clima_continuo,silte,6381,0.8716129851163186,4.645946947506743
1,020_030cm,clima_continuo,argila,6381,0.8549100819555218,7.639921306622955
1,020_030cm,zonas_k10,areia,6381,0.9015883926261421,7.86746911405763
1,020_030cm,zonas_k10,silte,6381,0.8722588529915313,4.6342461878052825
1,020_030cm,zonas_k10,argila,6381,0.8541485213052898,7.659945608226982
2,000_010cm,koppen_ipef,areia,11581,0.8131341677835064,11.68575168272931
2,000_010cm,koppen_ipef,silte,11581,0.8064439701083694,6.567099211644442
2,000_010cm,koppen_ipef,argila,11581,0.7944035643496512,9.149428498875201
2,000_010cm,sem_clima,areia,11581,0.813927336777576,11.660924692511784
2,000_010cm,sem_clima,silte,11581,0.808600468045499,6.530413184918274
2,000_010cm,sem_clima,argila,11581,0.795052862787068,9.134969572581378
2,000_010cm,koppen_chelsa,areia,11581,0.8130570550228278,11.688162577263626
2,000_010cm,koppen_chelsa,silte,11581,0.806211917626638,6.571034648823756
2,000_010cm,koppen_chelsa,argila,11581,0.7944554864777582,9.148273109692143
2,000_010cm,holdridge_etpm,areia,11581,0.8130723039375403,11.68768586649756
2,000_010cm,holdridge_etpm,silte,11581,0.8067467616946349,6.561960542841653
